,24876,23868333,1,0,0x10000010,8,02,25,00,04,02,00,FF,05
25650,24641403,1,0,0x10000011,8,00,00,0E,CF,00,00,00,00
25700,24691568,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
25700,24691864,1,0,0x10000011,8,FF,FF,F5,0E,00,00,00,00
25750,24741437,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
25750,24741728,1,0,0x10000011,8,00,00,04,EF,00,00,00,00
25800,24791626,1,0,0x10000010,8,02,25,00,0C,02,00,FF,05
25800,24791916,1,0,0x10000011,8,00,01,03,B7,00,00,00,00
25850,24842061,1,0,0x10000010,8,02,25,00,04,02,00,FF,05
25851,24842352,1,0,0x10000011,8,00,00,51,22,00,00,00,00
25900,24891946,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
25900,24892240,1,0,0x10000011,8,FF,FF,FC,FF,00,00,00,00
25950,24942126,1,0,0x10000010,8,02,25,FF,FE,02,00,FF,05
25951,24942414,1,0,0x10000011,8,FF,FF,CE,D9,00,00,00,00
26000,24992339,1,0,0x10000010,8,02,25,00,01,02,00,FF,05
26001,24992634,1,0,0x10000011,8,00,00,10,F4,00,00,00,00
26051,25042480,1,0,0x10000010,8,02,25,00,02,02,00,FF,05
26051,25042770,1,0,0x10000011,8,00,00,2A,ED,00,00,00,00
26101,25092688,1,0,0x10000010,8,02,25,00,07,02,00,FF,05
26101,25092976,1,0,0x10000011,8,00,00,97,52,00,00,00,00
26151,25142862,1,0,0x10000010,8,02,25,00,05,02,00,FF,05
26151,25143152,1,0,0x10000011,8,00,00,71,1D,00,00,00,00
26203,25195303,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
26204,25195595,1,0,0x10000011,8,00,00,04,EF,00,00,00,00
26256,25247511,1,0,0x10000010,8,02,25,00,08,02,00,FF,05
26256,25247799,1,0,0x10000011,8,FF,FF,C2,D4,00,00,00,00
26306,25297701,1,0,0x10000010,8,02,25,FF,FE,02,00,FF,05
26306,25297991,1,0,0x10000011,8,FF,FF,A2,D9,00,00,00,00
26356,25347831,1,0,0x10000010,8,02,25,FF,FF,02,00,FF,05
26356,25348120,1,0,0x10000011,8,FF,FF,CE,D9,00,00,00,00
26406,25397381,1,0,0x10000010,8,02,25,00,09,02,00,FF,05
26406,25397673,1,0,0x10000011,8,00,00,1E,E8,00,00,00,00
26457,25448967,1,0,0x10000010,8,02,25,FF,FB,02,00,FF,05
26457,25449259,1,0,0x10000011,8,00,00,3C,F5,00,00,00,00
26503,25494483,1,0,0x10000010,8,02,25,00,02,02,00,FF,05
26503,25494776,1,0,0x10000011,8,00,00,35,04,00,00,00,00
26545,25536406,1,0,0x10000110,8,00,E1,00,D5,08,0A,00,DA
26545,25536694,1,0,0x10000050,8,01,45,03,11,00,04,C0,FF
26545,25536935,0,0,0x328,8,01,2C,02,4C,04,01,18,00
26552,25544316,1,0,0x10000010,8,02,25,00,03,02,00,FF,05
26553,25544613,1,0,0x10000011,8,00,00,3B,06,00,00,00,00
26553,25544904,1,0,0x10000020,8,00,01,2C,59,64,00,FF,FF
26553,25545191,1,0,0x10000100,8,0F,57,0F,4B,0D,07,FF,FF
26554,25545492,1,0,0x10000000,8,00,00,00,00,4D,FF,FF,FF
26603,25594475,1,0,0x10000010,8,02,25,00,03,02,00,FF,05
26603,25594767,1,0,0x10000011,8,00,00,48,FA,00,00,00,00
26653,25644652,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
26653,25644949,1,0,0x10000011,8,FF,FF,F0,FA,00,00,00,00
