53717,5570659,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
53817,5670696,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53817,5670981,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
53917,5771047,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53917,5771340,1,0,0x18FF5000,8,00,00,01,00,AC,BF,00,00
54017,5871397,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54018,5871678,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
54118,5971735,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54118,5972021,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
54218,6072073,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54218,6072368,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
54318,6172395,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54319,6172689,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
54419,6272744,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54419,6273037,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
54519,6373071,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54519,6373356,1,0,0x18FF0300,8,AC,BE,00,02,0E,6B,0E,60
54619,6473427,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54620,6473720,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
54720,6573756,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54720,6574043,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
54820,6674120,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54820,6674404,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
54920,6774458,0,0,0x675,8,1F,10,01,F5,00,00,00,00
54921,6774751,1,0,0x18FF5000,8,00,00,01,00,AC,C1,00,00
55021,6874806,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55021,6875087,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
55121,6975155,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55121,6975445,1,0,0x18FF0600,8,00,9F,02,00,0E,6A,0E,60
55222,7075491,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55222,7075786,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
55322,7175835,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55322,7176127,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
55422,7276192,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55423,7276486,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
55523,7376534,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55523,7376819,1,0,0x18FF0300,8,AC,BE,00,02,0E,6B,0E,60
55623,7476885,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55623,7477178,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
55723,7577280,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55724,7577566,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
55824,7677560,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55824,7677845,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
55924,7777888,0,0,0x675,8,1F,10,01,F5,00,00,00,00
55924,7778181,1,0,0x18FF5000,8,00,00,01,00,AC,C1,00,00
56024,7878203,0,0,0x675,8,1F,10,01,F5,00,00,00,00
56025,7878484,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
56125,7978544,0,0,0x675,8,1F,10,01,F5,00,00,00,00
56125,7978831,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
